prime,max,min,mean,median,std dev,x_max,x_min
139981,253.76781895669512,-253.767818956695,9.615963299475884e-16,0.0,107.77110045037078,46725,93256
152783,418.0748285782067,-19.095041674666763,252.79437910507266,274.396236501148,112.59485138467954,64754,4477
142543,278.66466507731354,-126.13162049880748,100.93941434582788,102.9698638421015,108.75286803851101,50317,8598
121553,209.9403111520336,-209.94031115203373,5.746398122313796e-15,0.0,100.4222674289465,34638,86915
155861,263.31764034929495,-263.31764034929466,5.613552480130097e-15,0.0,113.72337619876289,38805,117056
105691,245.17142698830781,-78.98679984889377,83.13970926092168,81.27199654106816,93.63480063964626,65346,87800
131293,268.9612509402543,-268.96125094025416,-1.1100860362632566e-15,0.0,104.36981905616899,43844,87449
116447,356.0446606084101,-26.745253826935638,200.19231822669894,220.0419276860296,98.28885356888482,68649,2140
148193,267.1633362817591,-267.1633362817589,-8.177860560974046e-15,0.0,110.88895360572123,21170,127023
190181,393.7237859752975,-393.72378597529763,2.4485163465737338e-15,0.0,125.63079653812309,47596,142585
178921,236.17944699863796,-236.1794469986383,-1.0410433371325652e-14,0.0,121.85323796510508,13060,165861
128749,208.0049638450339,-208.00496384503387,5.877324032614438e-15,0.0,103.35371145358309,47961,80788
128239,490.7754756544797,0.0,245.10421953673665,244.12626137767163,103.14880619012393,42711,0
156913,239.9922731769095,-239.99227317691,3.895027432981383e-15,0.0,114.10822801512381,26152,130761
160499,594.8333792238359,0.0,199.58017066315102,168.5277956177996,115.40474450370598,80249,0
178939,306.3931531831765,-127.98711214444998,89.64223553385374,84.32596389089058,121.85936721522523,86330,142040
101117,224.8260214872169,-224.82602148721702,-1.4391165905205704e-16,0.0,91.58468956603052,33609,67508
129277,242.8682684848203,-242.86826848482033,4.9528088526817724e-15,0.0,103.56542154596698,43336,85941
101119,318.2665707117143,-19.33326311371302,153.8119935778804,156.23476185171924,91.58559529144469,69008,98932
153343,315.41373113758516,-107.3978383518471,113.97983810622301,112.05198898425378,112.80101124805448,99321,9251
172801,249.59432895965105,-249.5943289596517,-6.7580118001425906e-15,0.0,119.74939348809853,23225,149576
164093,273.1114338728322,-273.11143387283227,-2.7137741607233093e-15,0.0,116.69141848869361,54731,109362
189187,290.02944483106734,-156.03427062001515,37.22775698999767,-8.290516459092395,125.30205547009962,71848,23520
104207,411.2000061534203,0.0,257.32516824110684,280.2409281957619,92.97511693984535,41872,0
115471,409.9925104372626,0.0,206.50947809390118,206.98989796303172,97.87446734503722,76981,0
114451,301.07004541897055,-157.19716963844064,71.0387806210644,55.81685672381794,97.44122696696942,45749,22898
194323,350.0365639970102,-112.60551170772797,94.58209630472862,51.170528850322505,126.99326963306832,77860,32905
111893,195.23977952445387,-195.23977952445387,-9.753904552809504e-16,0.0,96.34615936332746,39110,72783
187171,395.91540904475977,-121.04089063560885,137.25026444820583,120.62650217074648,124.63265030097429,93585,31372
125731,283.3366150171569,-170.48475992215188,58.20927910313788,54.12964602103278,102.13353574567147,50324,100588
157483,335.8068224445891,-189.9053646462715,49.98145844895045,18.716927923842224,114.31529412699102,63056,126006
196907,402.7001482843337,-63.31553134761951,136.670215253383,98.7280917415977,127.83482444290804,98453,181837
158201,257.73862920671485,-257.738629206715,5.702990146451317e-15,0.0,114.57559219232832,39595,118606
147253,286.88316347741363,-286.8831634774139,2.56938599510732e-15,0.0,110.5367054009601,49051,98202
177467,399.92891557709885,-22.241895648716866,136.9621468630501,89.99627232003323,121.3571083044288,88569,40963
127291,285.29344810530154,-110.32416848083045,86.30028050274468,80.940536456712,102.76683792354663,76430,102255
185149,239.57076913375246,-239.57076913375312,5.4231032884720564e-15,0.0,123.95762178188119,67103,118046
151357,243.15753411155325,-243.15753411155313,5.191721706507198e-15,0.0,112.06816757828885,50304,101053
194371,332.5578511177421,-198.41988036556032,65.47588219279857,57.129217647619875,127.00895305850796,116415,155698
124739,545.0412242388868,0.0,187.49773896389019,163.77761960979626,101.72982821560831,62369,0
106307,275.48556290436585,-59.32895304408825,73.2930283464715,35.76259329497249,93.90727056792825,54807,3810
157513,256.37977567582186,-256.3797756758216,3.5106485095067732e-15,0.0,114.32618195461107,19814,137699
127819,304.47824766354006,-89.17918435414892,100.0786920320699,88.29067915601831,102.97975454218093,63909,106440
122701,228.0055704275974,-228.0055704275971,0.0,0.0,100.89536904246492,44604,78097
153427,314.6418206408227,-131.84582786705562,56.623135576406696,21.55387964874471,112.83190273863397,63904,29858
185693,389.3227747264662,-389.32277472646643,-2.664425249010318e-15,0.0,124.1395927524214,61929,123764
145757,244.58748566759172,-244.58748566759155,6.289719597598137e-15,0.0,109.9737795021027,47773,97984
184669,240.73077493721536,-240.73077493721493,-9.455998718810533e-15,0.0,123.7968370305776,67526,117143
173923,334.1716743086101,-150.95180687960112,60.21926967288477,16.640089747561344,120.13753194254754,69771,139355
156521,238.2440813621589,-238.2440813621587,2.92858676914635e-15,0.0,113.96560631802102,39803,116718
111467,291.43310159457627,-29.122411084449983,97.61912046839477,60.105699238661,96.16257949823797,51521,11786
192877,271.5843696102899,-271.58436961029025,-7.129704366413141e-15,0.0,126.51989500212764,64501,128376
179057,254.3126196358619,-254.31261963586186,3.738407884108832e-15,0.0,121.89954022254784,24291,154766
156019,330.3364502334391,-112.41681605674695,103.78391023777591,94.8129975166258,113.78100364252536,62128,124730
115571,389.99664382822334,-13.444538519335492,133.6018507994279,124.67339382572818,97.91683871371224,57785,26500
105331,289.08675938272313,-151.42432016769573,71.5256531922631,47.95968007482541,93.47519726119553,42112,84282
131447,434.30270592621434,-0.3249842518753522,251.72339451308065,273.01331838284557,104.43101135777034,76687,130225
109433,198.1185558058147,-198.1185558058148,6.9147294863073874e-15,0.0,95.27957791536703,15727,93706
106363,237.68840991715064,-92.4097242398786,46.38984039721977,11.261712727313721,93.93200137013558,66307,14786
174467,374.7610029968958,-34.77319543152094,121.11615690056273,79.2106361819578,120.3252695982984,85078,155779
140167,377.68445514278466,-16.80652630798308,181.34300621634114,190.7595701355631,107.84267720098602,52614,122632
128393,239.1829128798659,-239.18291287986605,-4.561888794106889e-15,0.0,103.21072241699044,18263,110130
134033,220.49684950346656,-220.49684950346614,9.55412876005374e-15,0.0,105.45492719668447,38234,95799
162709,238.39868273683538,-238.39868273683518,3.577408804274343e-16,0.0,116.1965641289451,55711,106998
185243,371.0259392940896,-99.64528110321243,90.32599867298953,38.09719999374753,123.98908438198418,99014,170724
191899,332.13283763473106,-200.4442431314518,71.44800163023818,52.856288416062924,126.19696367438266,76842,39738
140191,407.0025301860278,-12.882302288787761,201.00284705239827,196.41316613148004,107.851909450626,92910,988
186271,553.6620510396988,0.0,278.63363562904084,288.2622877456286,124.33264509104788,62155,0
129953,244.76405974164132,-244.7640597416417,-7.838480573635696e-16,0.0,103.83584451825686,18587,111366
191903,730.6743234176429,0.0,471.1100175267558,512.4513764883256,126.19827891110673,115108,0
171937,248.71893164061652,-248.71893164061584,-5.416650137058798e-15,0.0,119.44964658587058,21608,150329
104869,188.95509826106704,-188.95509826106732,-5.550511677756764e-16,0.0,93.2699727779556,37189,67680
178603,340.30055168894336,-96.10711717999352,86.42166804270572,46.71791497355891,121.74490366536658,71209,30251
101293,197.12185317049367,-197.12185317049344,-5.028156269365502e-16,0.0,91.66435914428546,33063,68230
121267,250.60877291762282,-112.53102298127432,42.83499511569138,5.303076473840143,100.30405692594918,75782,106122
138163,290.3110391828139,-138.91674892184653,49.262368849479806,14.983935438395564,107.06897595631841,83041,27483
111029,218.5071080049414,-218.50710800494085,-4.062986896030518e-15,0.0,95.97185432851629,27884,83145
137147,463.629448410876,0.0,157.56594485464265,121.62182606147523,106.67291502417164,68573,0
138683,408.5491225962239,0.0,138.9838806466424,101.69556487730716,107.27027290066782,69341,0
193469,299.1481104541055,-299.14811045410585,6.919848663143709e-15,0.0,126.71391085976379,48422,145047
158657,259.86909134717916,-259.86909134717905,1.687635844633077e-14,0.0,114.74060023676844,22636,136021
134593,217.31164004278864,-217.31164004278878,0.0,0.0,105.6749968957252,22470,112123
174017,273.97867330024417,-273.9786733002442,-3.533093998853557e-15,0.0,120.16999286647724,28802,145215
190409,264.313442118052,-264.31344211805236,3.821225684806614e-16,0.0,125.7060807194681,49230,141179
150473,268.0094104866743,-268.00941048667374,-4.1100821888683766e-16,0.0,111.74042146790399,43047,107426
123853,236.0609101873842,-236.060910187384,1.762401624712383e-16,0.0,101.36789951674386,41486,82367
149971,314.76920599975386,-99.15927570886572,95.80653711183236,82.04521900162852,111.55387453265563,88024,25350
118739,410.23459226205847,-18.18203873764132,132.52901451955557,101.05042179936625,99.2514387155946,59966,89318
102359,509.66539481404556,0.0,395.305588011536,424.85164075962376,92.14702190468542,46356,0
182747,359.94457667263885,-76.47956509137815,89.86866307220268,38.36344638426267,123.14918549044519,88416,177609
182239,514.4658381615229,0.0,257.824352610038,266.49323501330946,122.97790135807784,60806,0
169951,476.32989978165756,-5.38630807110183,236.03360853510696,231.7781688743342,118.75777683053911,113500,169126
130531,269.2777934131254,-178.02592727172112,44.81582941745239,36.73487868215372,104.0665068756838,52190,26062
162277,269.34959786526997,-269.3495978652697,1.9279760989535627e-15,0.0,116.04220795074333,60770,101507
118757,234.48194624936718,-234.48194624936713,2.3281691970912887e-15,0.0,99.25896134167283,38830,79927
194027,393.4648053084395,-83.5088506873504,97.16562450006624,45.5673166629616,126.8965123440507,104656,14798
192497,264.73784183628646,-264.73784183628703,-2.097776316447426e-15,0.0,126.39520086112492,28630,163867
167413,354.6944805035528,-354.6944805035525,-6.953780281515463e-16,0.0,117.86598259751067,55858,111555
106487,545.0807173187499,0.0,356.2398538280821,383.5891402044546,93.98673927433336,42637,0
105977,199.1362083461242,-199.13620834612473,-3.2954883180388616e-15,0.0,93.76140300444405,15308,90669
172027,299.33880109571277,-156.16020644471334,46.70578719783229,14.044532616527095,119.48090530776948,103158,137678
